"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1541","<ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9> Enjoy #Brunello? Look for gorgeous #Pietranera in #LCBO #VINTAGES Nov 11. https://t.co/EJRBxd8dXq @ConsBrunello #Sangiovese #wine",FALSE,0,NA,2017-11-15 14:59:00,FALSE,NA,"930812383651684353",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","cono_sur",1,FALSE,FALSE,NA,NA
"1542","At 90+ Cellars, we want you to enjoy great wine, #wine anytime. That’s why we search the globe for o https://t.co/QvPjSQXXHS",FALSE,0,NA,2017-11-15 14:58:23,FALSE,NA,"930812228961558528",NA,"<a href=""http://pinterest.com"" rel=""nofollow"">Pinterest</a>","kmyers2360",1,FALSE,FALSE,NA,NA
"1543","Traces of the world's oldest wine found in 8,000-year-old Stone Age pottery
#Science #Archaeology #History #Wine... https://t.co/TqPaYHq26X",FALSE,0,NA,2017-11-15 14:58:18,FALSE,NA,"930812208669511680",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ac2info",1,FALSE,FALSE,NA,NA
"1544","What do you know about #BRUNELLO? <ed><U+00A0><U+00BC><ed><U+00BD><U+00B7> A #TenutaTorciano specialty, learn all about one of our favorite wines in the w… https://t.co/oj6sGRoxHM",FALSE,0,NA,2017-11-15 14:57:38,TRUE,NA,"930812039638986752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Torcianowinery",1,FALSE,FALSE,NA,NA
"1545","Hump Days at O'Finn's = $5.49 P.E.I. Mussels! <ed><U+00A0><U+00BC><ed><U+00BD><U+00B4>

2 sauces to choose from! 

Ask your awesome O'Finn's server for al… https://t.co/gvNSafL2ut",FALSE,4,NA,2017-11-15 14:57:23,TRUE,NA,"930811974795059200",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","OfinnsIT",2,FALSE,FALSE,NA,NA
"1546","It's #WineWednesday who wants to learn how to get #freewine every month!? #food #wine #winetasting #redwine… https://t.co/YoQPnCBFJ9",FALSE,2,NA,2017-11-15 14:57:17,TRUE,NA,"930811950954680320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoodWineFashNC",1,FALSE,FALSE,NA,NA
"1547","Is the #wine in your #glass #friendly to the #environment?
https://t.co/MfFWzkd0Wm
#alcohol #liquor #industry… https://t.co/0wxYhqv3Gd",FALSE,2,NA,2017-11-15 14:57:02,TRUE,NA,"930811888354676736",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","SJforKids",1,FALSE,FALSE,NA,NA
"1548","Reunited with our one true love this #winewednesday 
Which bottle will you be picking up? #winelover #wine… https://t.co/e8CECP2c81",FALSE,0,NA,2017-11-15 14:57:01,TRUE,NA,"930811883036266497",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","TheWhiskyCellar",1,FALSE,FALSE,NA,NA
"1549","What? Your winery doesn't have a #candelabra? How strange!

#wine #travel #travelgram #portugal #instravel #history… https://t.co/ccbrdOad5M",FALSE,1,NA,2017-11-15 14:56:57,TRUE,NA,"930811869371207681",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ryanopaz",1,FALSE,FALSE,NA,NA
"1550","Free #wine tasting @SWofStJohnsWood tomorrow on 16th of November at 5.30pm. Come and meet #wine #Producer Elana Cor… https://t.co/NaJLoVj83r",FALSE,1,NA,2017-11-15 14:56:30,TRUE,NA,"930811756045271040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SWofStJohnsWood",1,FALSE,FALSE,NA,NA
